show_id,registration_id,registered_by,sagir_id,dog_name_he,arena_id,class_id
1378,16716,250257,153055,"Confident Wilson",2174,309545
1378,16717,250257,1005367,,2174,309544
1378,16725,248541,149586,,2176,310144
1378,16726,248541,1016508,,2176,310138
1378,16727,248541,1017146,"Future King",2176,310135
1378,16732,230786,150589,XS-Chupi,2183,312684
1378,16733,258298,1003687,,2183,312603
1378,16737,248765,142771,,2175,309883
1378,16740,254568,1018785,,2175,309976
1378,16742,248956,1006748,Allora,2181,312040
1378,16743,248956,1010918,,2181,312039
1378,16746,229605,1001062,,2174,309402
1378,16747,248785,127469,,2175,309888
1378,16749,256455,1000745,,2179,311499
1378,16750,229152,151774,"Being As An Ocean",2183,312784
1378,16755,251864,1000163,,2182,312240
1378,16756,251864,1006105,Chanel,2182,312232
1378,16757,251864,1016789,,2182,312239
1378,16769,249864,1003761,,2174,309769
1378,16777,249944,142294,קובה,2179,311504
1378,16784,231713,153259,,2177,310843
1378,16785,231713,1016555,"Marcel My Delightful",2177,310839
1378,16786,231713,1020343,,2177,310835
1378,16790,260472,1006891,,2175,309851
1378,16793,248836,1000644,,2182,312255
1378,16804,227107,1009545,"Secret Eyes Only",2182,312312
1378,16806,249135,1000883,,2176,310124
1378,16807,249135,1010794,,2176,310473
1378,16810,0,1001056,"Wilma Caramel",2176,310124
1378,16812,227107,15205,,2182,312322
1378,16817,250750,147066,מלק,2183,312607
1378,16822,260567,19206,,2182,312255
1378,16824,0,1000748,COPPER,2183,312747
1378,16826,250308,18957,,2174,309470
1378,16827,250308,1004757,,2174,309463
1378,16833,260182,1006414,Chloe,2176,310184
1378,16839,230958,1019504,BRITNY,2183,312518
1378,16842,254293,145710,Iron,2183,312559
1378,16844,248701,1020658,,2174,309832
1378,16845,248701,1020659,,2174,309829
1378,16851,250563,1007030,,2183,312571
1378,16859,231689,142951,,2175,309984
1378,16867,251957,150291,,2177,310799
1378,16874,231036,14865,,2175,309921
1378,16875,231036,147772,"Quality of Gemma",2175,309920
1378,16876,231036,152444,SALEROSA,2175,309916
1378,16877,231036,1015374,"YOU'RE SPARK OF LIFE",2175,309962
1378,16878,231036,1018929,"Z Oscar",2175,309909
1378,16881,261109,1011776,Anthony,2176,310167
1378,16888,249620,1005708,"Treasure of My Heart",2177,310839
1378,16890,260274,1017985,"Bonita Favorite",2177,310838
1378,16894,249621,1016608,ALPINA,2177,310840
1378,16895,250079,1003147,OPAL,2183,312636
1378,16896,250079,1006660,,2183,312680
1378,16897,250079,1019607,,2183,312679
1378,16907,231236,103547,"ירושלים של זהב",2179,311409
1378,16908,231236,113305,"גאוות ישראל מ",2179,311410
1378,16909,231236,1017977,גבריאלה,2179,311400
1378,16913,249496,147773,"Qiana of Gemma",2175,309920
1378,16915,227792,1000273,,2183,312640
1378,16921,249201,1018767,"Once Upon A Time",2182,312362
1378,16922,258923,1004429,Vida,2175,309914
1378,16925,256593,1000890,"צ'ארלי CHARLIE",2174,309449
1378,16931,249669,1017629,"Bella Fortuna bet on success",2177,310920
1378,16935,230344,16405,,2183,312769
1378,16936,230344,148106,,2174,309405
1378,16940,260693,1007223,,2183,312895
1378,16943,261603,1016494,,2176,310312
1378,16947,231844,1004826,"Unique of Kalmia",2175,309914
1378,16952,249010,19272,,2181,312043
1378,16953,261601,1016489,,2175,309911
1378,16958,262071,1017412,Caesar,2179,311383
1378,16959,230392,1016244,"King of The Castel",2180,311943
1378,16968,232151,15556,,2182,312257
1378,16969,232151,1016562,,2182,312247
1378,16973,250117,146894,"JE TIAME",2175,309920
1378,16979,229513,149214,"Rainy Hunter",2182,312255
1378,16980,229513,1004095,"Raini Sky",2182,312250
1378,16981,229513,1019273,"Beauty Nikita",2182,312248
1378,16982,227832,123504,,2177,310802
1378,16983,231186,1007232,,2174,309624
1378,16988,230381,19306,,2182,312320
1378,17026,228740,19279,,2177,310688
1378,17259,250596,1001512,"WHITE QUEEN",2183,312682
1378,17260,250596,1016241,,2183,312681
1378,17262,231571,1000306,,2177,310683
1378,17265,230234,149062,Erel,2183,312763
1378,17267,0,138390,,2183,312764
1378,17274,248679,126947,,2180,311903
1378,17276,252018,150664,"Fenix ",2180,311947
1378,17281,227827,1005707,"Secret of My Soul",2177,310839
1378,17282,227827,1018970,"Fashion Zara",2177,310840
1378,17283,259884,1005977,,2179,311450
1378,17288,248597,1002594,אמבוש,2176,310186
1378,17291,248542,19310,,2177,310847
1378,17299,252094,16409,,2177,311106
1378,17301,230597,1017938,Mars-bono,2176,310183
1378,17310,250729,18424,,2183,312479
1378,17319,263561,1020237,Patricua-Sophia,2178,311172
1378,17321,251880,1004130,Juventas,2182,312234
1378,17329,249673,18454,,2177,310815
1378,17330,249673,150213,"Gaius Julius",2177,310815
1378,17331,249673,1004593,"Millennium Star",2177,310809
1378,17334,231648,150325,,2175,309948
1378,17336,263558,1020235,"Nicolas Nico",2178,311171
1378,17340,229863,149671,SINDY,2183,312912
1378,17341,229863,1005445,Tylor,2183,312905
1378,17342,229863,1005677,Whitney,2183,312924
1378,17343,229863,1005970,"Valentino Romeo",2183,312921
1378,17344,229863,1018901,"OLIMPIA ORLY",2183,312904
1378,17353,251580,151151,,2175,309979
1378,17356,0,125504,,2177,310913
1378,17362,0,1002608,,2181,312107
1378,17363,0,1004722,פיליפה,2181,312108
1378,17367,255866,151349,דין,2177,311067
1378,17369,249527,1002632,,2177,311066
1378,17377,231456,134231,,2175,309886
1378,17378,231456,1019025,"Go Trophy Von",2175,309866
1378,17383,0,1017309,,2183,312761
1378,17384,0,1017310,,2183,312764
1378,17392,228843,16105,,2177,310690
1378,17394,228843,1000652,,2177,310683
1378,17399,228823,16452,,2177,310847
1378,17400,228823,1006146,,2177,310841
1378,17404,260004,1006047,Snow,2179,311337
1378,17410,260435,1006772,"James Bond Martin",2174,309445
1378,17411,250545,1002592,"A PABLO פאבלו",2176,310185
1378,17416,250509,152926,,2183,312651
1378,17417,250509,1004834,,2183,312649
1378,17427,0,1005415,,2179,311291
1378,17433,229698,1005081,Galateya,2183,312618
1378,17434,229698,1017111,"Jack Pot",2183,312615
1378,17435,252124,1005754,עזיז,2179,311431
1378,17436,252124,1019288,BARBY,2179,311432
1378,17439,228986,1004491,Dostoevsky,2177,310841
1378,17442,227888,141737,"פורטונאיס פאריטאל",2177,310752
1378,17444,263129,1019327,Brabus,2177,310837
1378,17447,229138,1017042,Gino,2175,309867
1378,17451,248829,145862,ריי,2180,311887
1378,17457,231249,1006641,,2177,310840
1378,17458,231249,1008921,"Quantum of  Love",2177,310840
1378,17459,259237,1004981,Aray,2179,311817
1378,17460,259237,1017792,,2179,311816
1378,17466,248608,18450,,2178,311183
1378,17467,248608,19148,,2178,311184
1378,17468,248608,152304,"margarita navarskaya",2178,311180
1378,17469,248608,1018792,"Orlando Bloom",2178,311173
1378,17475,248608,1020238,"Pearl Black Veronica",2178,311172
1378,17483,248506,1016708,"Olympia Vinn Basmadottir",2184,313050
1378,17485,0,1012778,,2179,311434
1378,17487,250495,1017114,Jasmin,2183,312616
1378,17493,231628,148529,A-Cherra,2176,310192
1378,17494,231628,1002647,קורה,2176,310186
1378,17502,256358,152931,,2176,310528
1378,17503,256358,1016967,Thor,2183,312551
1378,17506,231240,145474,"wind of change",2184,313088
1378,17507,231240,1005036,,2184,313081
1378,17509,259900,1005925,"Anton Dusen",2183,312455
1378,17514,0,1015370,,2175,309959
1378,17515,231298,151787,,2175,309983
1378,17516,231298,152457,"Wonderful Jewel  of",2177,310796
1378,17517,231298,152464,,2175,309980
1378,17518,231298,1001018,"Zlata's Zeus of",2175,309977
1378,17519,231298,1001019,,2175,309978
1378,17520,231298,1001148,,2177,310796
1378,17521,231298,1001154,,2177,310795
1378,17522,231298,1016617,"Elite Sweet Lollipop of",2177,310792
1378,17523,231298,1017121,,2175,309976
1378,17524,231298,1019102,,2175,309974
1378,17528,260184,1006416,Beyonce,2177,310840
1378,17530,256352,1001513,,2174,309385
1378,17533,259258,1005014,Ralphie,2182,312233
1378,17541,0,1020741,,2177,311063
1378,17546,0,152936,דליה,2175,310044
1378,17551,249127,17227,,2184,313039
1378,17552,249127,1007218,,2181,312026
1378,17553,248913,1000223,,2182,312236
1378,17558,254584,1017178,"Beuty Trend - Oskar",2183,312471
1378,17561,250144,18606,,2175,309967
1378,17564,249072,1000092,,2182,312400
1378,17570,248779,151837,Charizard,2175,309876
1378,17574,250138,1008950,"Irish Cream My Love",2183,312808
1378,17588,263351,1019606,,2178,311164
1378,17589,263351,1020097,,2178,311244
1378,17593,229234,152135,"SHEFITA BEPITA",2183,312480
1378,17594,231946,148977,,2174,309262
1378,17599,231113,16199,,2174,309389
1378,17600,231113,18320,,2174,309453
1378,17601,231113,1005059,,2174,309384
1378,17614,0,1019518,"BELL - בל",2174,309252
1378,17615,0,1019609,T-Rex,2174,309763
1378,17618,228159,1012755,Furore,2178,311145
1378,17619,228159,1012756,Firenze,2178,311146
1378,17625,249490,19178,,2175,309984
1378,17631,231298,15155,,2175,309969
1378,17632,231298,1011793,"Captain Good Hope of",2175,309975
1378,17654,231265,1000226,,2183,312668
1378,17655,231265,1000743,,2183,312667
1378,17656,231265,1006484,Maggie,2183,312664
1378,17657,231265,1007193,"Mona Lisa",2183,312664
1378,17665,0,126973,,2175,309938
1378,17666,0,1001425,DIEGO,2175,309935
1378,17667,0,1001427,DEENA,2175,309936
1378,17673,0,151507,"STAR OF DAVID",2184,313051
1378,17679,262549,1018009,,2182,312312
1378,17680,0,138979,מיילי,2179,311436
1378,17684,256701,1001037,,2179,311455
1378,17692,261080,1016709,"Venera Maria Bint Aziz",2184,313048
1378,17696,231596,19292,,2177,310751
1378,17697,231596,147740,"גלפירה דפפי גלמור",2177,310748
1378,17698,231298,1014769,"Beautiful Bloom of",2175,309978
1378,17699,249452,19732,,2175,309964
1378,17706,229745,147611,"Armageddon Peacekipper",2175,310015
1378,17707,229745,1006809,,2175,310012
1378,17708,229745,1016507,"Bastion Onyx From Bearded Brigade",2175,310007
1378,17712,229296,152551,,2175,309980
1378,17713,248834,145860,אפולו,2180,311887
1378,17716,249374,1000266,,2176,310604
1378,17720,228773,1001137,,2183,312780
1378,17724,227193,1002609,"ALL OUT OF LOVE",2177,310842
1378,17727,231071,1005898,"Vladermark The White",2175,310041
1378,17737,250467,151148,,2175,309980
1378,17744,230901,19240,,2180,311948
1378,17745,230901,1000236,,2177,310924
1378,17746,230901,1020078,,2180,311947
1378,17749,249644,1008848,"Ocean Song Sergphine",2182,312250
1378,17755,249622,147936,"מינה מדונה",2177,310924
1378,17756,249622,1005123,,2177,310923
1378,17762,228952,1003768,,2183,312748
1378,17774,231428,17623,,2179,311520
1378,17775,231428,146146,"שינטואינו אקארי",2179,311520
1378,17776,231428,153296,Bunjirou,2179,311515
1378,17781,251639,151187,"Baklava Dulcet",2175,309886
1378,17785,230097,1000864,Cooper,2174,309259
1378,17793,230673,1017461,,2174,309252
1378,17794,230673,1017462,ENDORRA,2174,309252
1378,17797,248593,1001377,ג'יין,2181,312060
1378,17802,250576,143995,Luciano,2175,309919
1378,17805,262634,1018644,,2176,310599
1378,17810,228184,1002836,Matteo,2177,310699
1378,17814,0,149642,,2182,312288
1378,17818,230648,1000451,Macarena,2177,310844
1378,17821,230757,138438,,2174,309626
1378,17822,0,1016566,,2174,309625
1378,17826,232162,139766,,2183,312560
1378,17827,232162,1016386,Richi,2183,312552
1378,17847,0,1017161,Mikaela,2182,312232
1378,17850,0,145404,,2174,309385
1378,17852,254180,1001225,,2176,310524
1378,17860,251520,19297,,2183,312479
1378,17865,249945,145249,Leo,2179,311567
1378,17869,231601,19239,,2179,311372
1378,17872,227319,1019021,"Grand Von",2175,309864
1378,17877,0,1003889,"Biant azure blood",2175,309875
1378,17884,0,1001414,,2179,311564
1378,17885,0,1004696,,2179,311562
1378,17889,231505,153370,,2176,310092
1378,17895,0,1001025,PERSEPHONE,2175,309994
1378,17895,0,1001025,PERSEPHONE,2175,309994
1378,17901,0,1000100,,2174,309545
1378,17910,0,1007224,,2183,312554
1378,17924,231954,1001969,"Arina Grande",2182,312250
1378,17926,230905,152782,ר.נינט,2175,309852
1378,17929,230905,1006053,סביון,2175,309850
1378,17933,262105,1006413,Crystal,2176,310184
1378,17937,262749,1018773,Aqua,2182,312360
1378,17938,250160,1000113,,2183,312460
1378,17947,256532,1001043,"MA-ROCCO GO",2179,311563
1378,17955,231662,1008858,ברנדה,2177,310840
1378,17956,231662,1017582,"Amica Donna Mia",2183,312808
1378,17957,0,19146,,2182,312320
1378,17958,254419,146463,,2179,311503
1378,17959,258467,1004020,"EL TAJ",2184,313049
1378,17970,0,141330,,2183,312656
1378,17971,0,151652," Nisan Solaris",2183,312655
1378,17972,0,1005371,Tiffany,2183,312650
1378,17973,0,1017605,"EVA MARIA",2183,312648
1378,17974,0,1018797,,2183,312938
1378,17975,0,1018870,,2183,312935
1378,17975,0,1018870,,2183,312935
1378,17975,0,1018870,,2183,312935
1378,17988,251725,1017021,,2181,312151
1378,17990,257865,1002822,"Sam Samuel",2183,312587
1378,17993,249747,917959,"Belle The Little Princess",2177,311136
1378,18002,0,1020853,,2178,311239
1378,18007,231784,151770,"Cherry Blossom Beloved Cheddar",2182,312284
1378,18008,231784,1004829,,2182,312281
1378,18009,231784,1019366,,2182,312280
1378,18014,250490,1006796,"Aidan Golden Boy",2183,312457
1378,18020,0,1014797,Dryada,2175,309870
1378,18023,259936,1005967,,2177,310924
1378,18029,254556,1000276,,2179,311291
1378,18030,254556,1016683,,2179,311288
1378,18032,261374,1014794,Darys,2175,309867
1378,18049,0,1000167,,2174,309389
1378,18052,259208,1004952,"Amalteya Sendy Blaze of Glory",2175,309978
1378,18054,259867,1005838,Nira,2175,310010
1378,18058,256550,1001031,"Aurora Utrenyaya Zarya",2183,312778
1378,18067,248622,1000247,,2182,312255
1378,18068,248622,1001970,"Amore Mia",2182,312250
1378,18069,248622,1003968,,2183,312671
1378,18070,248622,1016235,ערבה,2182,312234
1378,18071,0,1006794,"Acidanthera Terra Nova",2183,312458
1378,18087,254563,1003996,,2183,312720
1378,18088,0,1000278,,2183,312879
1378,18088,0,1000278,,2183,312879
1378,18091,258119,1003145,,2175,309947
1378,18100,228636,1001061,,2174,309259
1378,18101,228840,151473,"Agent Provocateur",2177,310687
1378,18102,228840,151474,"Always With You",2177,310688
1378,18106,249618,19111,,2177,310959
1378,18115,263121,1019319,"LUXURY DIVA TIFFANY",2183,312872
1378,18120,227186,148918,"Quintessence of My Soul",2175,309920
1378,18121,227186,1019611,,2175,309912
1378,18122,227186,1020297,"CHARLIZE THERON",2175,309910
1378,18126,227186,148915,"Quantum Light",2175,309915
1378,18130,262200,1017594,Blue,2176,310519
1378,18132,231113,1020792,Lucia,2174,309442
1378,18135,230256,145374,EVEREST,2176,310095
1378,18136,230256,145377,EMMA,2176,310092
1378,18139,250509,146358,Yaha,2183,312656
1378,18141,228934,150494,"Cesar Emperor of The Park",2183,312559
1378,18145,230906,1020901,,2176,310183
1378,18151,249701,1002717,Dakimasu,2183,312649
1378,18154,227535,131260,,2174,309306
1378,18155,227535,136499,,2174,309309
1378,18156,227535,151065,ביצ'ו,2174,309326
1378,18162,230760,138234,,2183,312560
1378,18163,230760,1002141,"Elements of Style",2183,312555
1378,18163,230760,1002141,"Elements of Style",2183,312555
1378,18166,262940,1019027,"Galaxy Von",2175,309865
1378,18169,0,1005502,,2179,311499
1378,18171,231261,152453,סאמר,2183,312492
1378,18173,248745,143665,סקיי,2182,312236
1378,18185,256973,1001418,פליקר,2182,312233
1378,18186,256566,1000861,צ'אמפי,2174,309771
1378,18188,262269,1017662,"Rare Diamond",2183,312904
1378,18191,261654,1016607,Adam,2178,311143
1378,18194,258844,1004493,"Dancing Queen Dafna",2177,310842
1378,18195,229880,134140,,2176,310095
1378,18198,263922,1020858,ALLADIN,2175,309907
1378,18204,231063,1006460,"Benjamin Imperial Nobleman",2183,312535
1378,18205,231063,1017708,"luxury sweets",2183,312647
1378,18208,263979,1020935,FIFI,2179,311332
1378,18210,248779,127471,,2175,309889
1378,18212,262935,1019020,"Grifin Von",2175,309863
1378,18213,227112,1005402,,2179,311531
1378,18214,227112,1020660,,2179,311528
1378,18221,256526,1018991,"Appolonius of Rhodes",2179,311751
1378,18224,230129,1016747,,2176,310394
1378,18231,257426,1001975,"Auguste Louis",2182,312249
1378,18233,230931,16592,,2183,312657
1378,18234,230931,141333,,2183,312655
1378,18235,230931,1011817,Miyoshi,2183,312647
1378,18236,230931,1020837,,2183,312632
1378,18248,259337,1001751,Lenox,2176,310523
1378,18250,231384,143222,"Coco Chanel",2183,312768
1378,18251,231384,151844,"LUC BESSON",2183,312767
1378,18252,231384,1019405,,2183,312758
1378,18253,231384,1019408,,2183,312757
1378,18255,0,146107,Donna,2181,312092
1378,18259,252041,148050,"Winter Star Willy",2177,310975
1378,18276,250649,148563,"Elizabeth Eevee",2174,309390
1378,18281,229574,1000295,,2177,310940
1378,18286,253691,151838,Coraline,2175,309877
1378,18287,249104,1005041,,2174,309544
1378,18290,259891,1008856,ליזי,2177,310840
1378,18291,249405,1001020,Tor,2176,310347
1378,18293,0,144256,"בוני קפ",2182,312256
1378,18299,0,1004630,Zara,2179,311516
1378,18302,0,151153,,2175,310044
1378,18306,254340,149520,Moon,2179,311340
1378,18309,254579,1000310,,2184,313087
1378,18310,262723,1020357,Astrid,2176,310070
1378,18312,230713,152225,"Ivory Sky Avrelius Lucius",2183,312459
1378,18330,0,1001059,,2179,311548
1378,18341,0,1000627,,2183,312943
1378,18343,0,1006573,,2183,312940
1378,18353,227262,137443,,2179,311435
1378,18354,227262,1002682,,2179,311435
1378,18355,227262,1002723,,2179,311436
1378,18356,227262,1002724,,2179,311436
1378,18357,227262,1004484,,2179,311434
1378,18367,228389,1001079,,2183,312731
1378,18368,228389,1020394,,2184,312999
1378,18369,228389,1020490,,2184,313000
1378,18388,229060,1016691,משמש,2183,312600
1378,18392,250533,145559,,2183,312767
1378,18394,227544,19383,,2177,311040
1378,18396,257792,1002738,"AYADAUGHTER OF THE SEA",2183,312458
1378,18397,230163,131722,,2183,312540
1378,18398,230163,1001080,MACHO,2183,312537
1378,18399,230163,1004249,Pita,2183,312538
1378,18400,230163,1016591,,2183,312539
1378,18409,260972,1019355,"Sir enzo ferrari",2183,312551
1378,18416,257261,1002072,Loki,2176,310521
1378,18418,232153,1005016,,2182,312232
1378,18419,232153,1016619,,2182,312237
1378,18426,250012,18613,,2180,311936
1378,18428,229983,1000858,,2179,311552
1378,18429,232125,19300,,2183,312687
1378,18435,262048,1017372,Jaclyn_Zoe,2181,312040
1378,18437,0,142557,"Ankor Style Oharming Mylo",2179,311551
1378,18439,0,1006540,"Enter My Heart",2183,312744
1378,18440,227264,1019403,,2183,312645
1378,18447,231453,152260,"Alabama Spark of Love",2183,312540
1378,18448,231453,1020056,,2183,312536
1378,18452,229212,120113,,2177,310817
1378,18456,231515,1001540,"BOSSA NOVA",2177,310810
1378,18465,249652,147093,"A KIND OF MAGIC",2177,310811
1378,18469,232023,153400,DONNA,2176,310188
1378,18470,251506,148326,,2176,310526
1378,18472,254342,1000208,,2183,312880
1378,18473,254342,1016717,,2183,312874
1378,18475,232009,18578,,2183,312688
1378,18479,0,19185,,2183,312816
1378,18481,262585,1018062,Abooya,2184,313077
1378,18494,230221,144287,"Wonderful Whisky",2184,313039
1378,18495,230221,147021,"Zen Zodiac",2184,313040
1378,18496,230221,1001140,"Hercules Tibo Courtois",2176,310073
1378,18497,230221,1001141,"Happy Madona",2176,310074
1378,18498,230221,1020968,"ISR Vinicius Jr",2176,310067
1378,18499,230221,1020970,"ISR Hera the Queen",2176,310068
1378,18504,250104,1002736,"AMAZING STITCH OF THE NEW ERA",2183,312459
1378,18506,229621,118376,,2174,309312
1378,18507,229621,1004058,"Dare To Dream",2174,309656
1378,18508,229621,1005250,,2174,309655
